"id","y4","y5","y6","x3","x4","z2"
1,28.5331900786536,22.3462530165796,17.4894941994191,4,1,"b"
2,29.4260035480682,21.5380590911984,12.4964142705586,1,2,"c"
3,30.435364440181,17.0099656741833,28.1020726584011,4,3,"c"
4,33.1677216718688,21.1415998845223,31.5585351612438,4,5,"b"
5,28.0971277952622,22.0005018877608,32.1586493706097,4,2,"a"
6,24.1418978074034,28.9224547815511,33.9233103381501,2,5,"c"
7,35.2395498477,17.5545237738891,27.0616617745798,3,3,"c"
8,31.5502436058952,19.1792006257484,17.4973812858113,1,5,"c"
9,27.0824629268932,22.57354790311,35.5696614072818,2,3,"c"
10,33.0549121372682,20.5625209678355,32.78538061075,1,2,"a"
11,35.6926848312913,19.876435523347,32.491325344208,1,3,"a"
12,38.3028145142581,11.6053470033293,25.444458656933,3,5,"c"
13,32.0534157215166,24.277310829704,22.5112637497359,3,3,"a"
14,40.3631417977373,22.4258623890776,25.9583393428737,1,2,"b"
15,32.6147931714788,20.6089665659236,28.3773548431228,4,4,"a"
16,29.1134414214385,17.8843345792258,35.149090107266,4,3,"b"
17,37.0876146518683,14.3395129947353,44.7968820255266,4,4,"b"
18,32.1999221770861,18.6693044423376,24.7648625621019,5,5,"a"
19,35.7658872236888,25.8808619441811,31.6807306893776,5,1,"a"
20,33.7470663575566,12.5897852304252,29.8965045814286,4,4,"c"
21,21.6600159792694,18.1056514853675,32.7054895239906,5,3,"c"
22,38.0288326793942,24.8744945230538,35.0805330378713,1,4,"b"
23,23.0552218181841,19.2986931264244,38.1712299006124,3,4,"c"
24,28.5790104676489,22.9502952182206,7.59821490553136,4,2,"a"
25,34.4553986954276,19.8496280464762,43.6678961849558,1,4,"b"
26,37.1272458724313,12.2631797377105,16.8540201023334,1,1,"b"
27,29.8442286855667,21.3825193395417,44.1156151928784,1,1,"c"
28,35.2949562118398,21.2006312947255,16.5199423599596,3,2,"b"
29,41.6950201575007,12.8659743424625,37.6943918552833,5,1,"c"
30,40.97490788715,17.2586371135427,43.2722736433954,4,3,"b"
31,24.7817265406793,16.3091423862149,16.5290047825611,5,2,"b"
32,31.1992304641852,17.0464940142405,21.9366045691728,4,3,"a"
33,33.6272204320386,11.5030509879715,38.8177885378661,5,4,"a"
34,35.4021323818726,18.778899930723,28.4838449187701,4,1,"c"
35,21.8602724188725,24.6560498522115,27.4626448077755,1,1,"b"
36,25.9791663533783,27.6498470936197,27.9056878832229,3,1,"c"
37,26.9721446379726,15.516224671918,11.1192412940603,4,5,"a"
38,42.1122748082417,22.3520476378592,13.9808838552281,5,2,"a"
39,38.00497088714,25.1946209456337,38.6325260625341,5,5,"a"
40,24.5736587870376,18.0896778674323,37.1646875124808,3,2,"a"
41,26.153117878246,12.9585086122963,37.8087706561925,3,3,"c"
42,35.7066223505986,19.7426875347828,26.9872919087592,1,3,"a"
43,38.0725922482756,11.6394229357648,8.4862878565194,4,1,"a"
44,37.8061042243738,32.8111859243016,23.2860217311892,5,3,"c"
45,29.225213796113,16.7826238857521,38.4200716318344,4,2,"a"
46,23.7191943305205,12.9521073448727,30.4510206858722,5,4,"c"
47,29.6447656158791,23.129242551499,34.4887638384675,4,1,"c"
48,30.6503644418279,14.4601367045682,19.6402571923052,2,2,"c"
49,28.7625931837955,14.0694208430325,35.4841431270251,5,1,"c"
50,26.220654513661,20.7446392314998,26.7788869805506,5,3,"b"
51,20.5799640563767,19.0874008805594,39.5979988050718,5,4,"b"
52,16.5193830811245,19.1147922406133,32.7665033438532,3,5,"c"
53,36.4811481383658,18.4078937674166,23.7819855820369,5,2,"c"
54,24.6366310971568,24.2955070599685,6.45960749962227,5,2,"c"
55,31.7020436150017,17.0775268383993,33.1416864304485,5,2,"c"
56,22.9186039158661,14.8191430773757,39.6870057404243,5,1,"a"
57,30.4047442146522,20.4026645124592,29.3247764121376,1,2,"b"
58,29.0349663952975,21.0006616918321,33.4703815100594,4,3,"b"
59,36.4743847069025,24.1082552093603,35.4124887752144,2,3,"c"
60,30.9116833517596,11.8501197210021,39.7712149301099,3,2,"a"
61,26.4545271852319,18.8212957917146,29.1140327521838,3,2,"c"
62,27.2487864955404,20.7710766007855,35.4879833645676,2,3,"c"
63,28.3314069399916,13.4760335881668,38.8441323785621,2,2,"b"
64,31.2411150326006,22.7227031654003,42.3935789303929,4,2,"c"
65,32.5026520706896,23.6043297205819,22.8039859256515,1,5,"a"
66,34.8118611725313,20.63285185969,44.7631850143039,3,2,"b"
67,29.7459496181977,19.7550098968599,30.8041430278463,4,3,"c"
68,34.8560206901097,23.7423647773591,27.864059368747,4,4,"a"
69,43.2091015122815,9.74852824155998,24.2483261904768,3,4,"b"
70,36.8453027057339,31.6407590861081,27.7012858316366,5,3,"b"
71,29.8082276085578,17.7538361869849,28.9629492135162,5,5,"b"
72,25.4848562563883,30.2728486697942,25.3151603661031,3,5,"a"
73,28.5686752997321,18.6016082270695,32.2024154156682,3,5,"c"
74,31.5195593749591,17.415326486531,34.1308573094769,4,3,"c"
75,18.6863369264758,22.4153689979089,31.2487746947728,4,4,"b"
76,33.507962212981,22.2983117925972,37.1349665885838,2,5,"c"
77,26.6265694742094,23.1056981513363,26.5933900658427,1,2,"c"
78,31.7807049732971,18.2590461896057,29.8654546039726,3,2,"a"
79,36.4212230766123,22.1272848599467,30.2743502416959,4,1,"c"
80,31.4780048656951,16.9378603355238,39.2682334595304,4,4,"b"
81,47.7098717681324,18.2912889208307,28.8716366490346,3,4,"a"
82,25.9016745598903,22.388195623353,46.9144736810334,3,2,"b"
83,38.2187079960965,24.9181341472449,21.7917281002431,2,1,"b"
84,31.209636436956,21.7983739637118,25.4491665309322,3,1,"c"
85,33.7359703899612,14.2194881427513,48.1765644205135,1,1,"a"
86,28.6283340891944,21.3223176041125,24.6170357000582,2,5,"b"
87,28.2205828163306,16.7656411114369,6.51588942467952,2,3,"c"
88,27.0076043718481,19.3415856733491,36.7102588166114,5,3,"a"
